Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No reason,Major reason,No reason,No reason,No reason,No reason,No reason,No reason
Major reason,Minor reason,Minor reason,Minor reason,Major reason,Major reason,No reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,No reason,No reason,Minor reason,No reason,No reason,No reason,No reason
Major reason,Minor reason,Minor reason,Minor reason,Minor reason,Minor reason,No reason,No reason
Minor reason,Major reason,Major reason,No reason,No reason,Major reason,No reason,No reason
Major reason,No reason,No reason,Minor reason,No reason,Major reason,Major reason,No reason
Major reason,Major reason,No reason,No reason,Minor reason,No reason,Minor reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,No reason,Minor reason,Major reason,Minor reason,Minor reason,No reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No reason,No reason,No reason,Major reason,Minor reason,No reason,No reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Minor reason,Major reason,No reason,No reason,No reason,No reason,Minor reason,No reason
Minor reason,No reason,Major reason,Minor reason,Minor reason,No reason,No reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,Major reason,No reason,No reason,No reason,No reason,Minor reason,No reason
Major reason,Major reason,No reason,No reason,No reason,No reason,Major reason,Minor reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,Minor reason,No reason,No reason,No reason,No reason,Major reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Minor reason,Minor reason,No reason,No reason,No reason,No reason,No reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,No reason,No reason,No reason,Minor reason,Minor reason,Major reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,Minor reason,No reason,No reason,No reason,No reason,Major reason,No reason
Minor reason,Major reason,Major reason,Major reason,Minor reason,No reason,Minor reason,Major reason
No reason,Minor reason,Minor reason,Minor reason,No reason,No reason,No reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,Major reason,No reason,No reason,No reason,No reason,No reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Minor reason,No reason,Minor reason,No reason,Major reason,No reason,No reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Minor reason,Minor reason,No reason,Minor reason,No reason,No reason,No reason,No reason
Minor reason,Minor reason,Minor reason,Minor reason,Minor reason,No reason,Minor reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,Minor reason,No reason,No reason,No reason,No reason,No reason,No reason
No reason,No reason,Major reason,No reason,Major reason,Major reason,No reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,No reason,No reason,Minor reason,No reason,No reason,No reason,No reason
Major reason,Major reason,No reason,No reason,No reason,No reason,No reason,No reason
Major reason,Major reason,Minor reason,No reason,No reason,No reason,Minor reason,No reason
Major reason,Major reason,No reason,No reason,No reason,No reason,No reason,No reason
Major reason,Minor reason,Minor reason,Minor reason,Minor reason,No reason,Minor reason,No reason
Major reason,No reason,Minor reason,Major reason,Minor reason,Major reason,Minor reason,Major reason
Minor reason,No reason,Minor reason,Major reason,Major reason,Major reason,Minor reason,Major reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,Major reason,No reason,No reason,Major reason,Minor reason,Major reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No reason,Major reason,Major reason,No reason,Minor reason,No reason,Minor reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,Major reason,Minor reason,No reason,No reason,Minor reason,Major reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Minor reason,Minor reason,No reason,No reason,No reason,No reason,No reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,Minor reason,No reason,Major reason,No reason,Minor reason,No reason,No reason
No reason,Major reason,Minor reason,Minor reason,No reason,Minor reason,No reason,Minor reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No reason,Major reason,No reason,No reason,No reason,No reason,No reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Minor reason,Major reason,No reason,Major reason,No reason,No reason,No reason,Minor reason
Major reason,Minor reason,No reason,No reason,No reason,No reason,No reason,No reason
Major reason,Major reason,Major reason,Minor reason,Minor reason,Minor reason,Minor reason,Minor reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,Minor reason,Major reason,Major reason,Minor reason,Minor reason,Major reason,Minor reason
Minor reason,Major reason,No reason,No reason,No reason,No reason,No reason,No reason
No reason,Major reason,No reason,Minor reason,No reason,No reason,No reason,No reason
No reason,Major reason,Major reason,Major reason,Major reason,Major reason,No reason,No reason
Major reason,No reason,No reason,No reason,No reason,No reason,No reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,Major reason,Minor reason,Minor reason,No reason,Minor reason,No reason,No reason
Minor reason,Minor reason,No reason,No reason,No reason,No reason,No reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Minor reason,Minor reason,Minor reason,Minor reason,Minor reason,Minor reason,Minor reason,Minor reason
Minor reason,No reason,No reason,Minor reason,No reason,No reason,Minor reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Minor reason,Minor reason,No reason,No reason,No reason,No reason,No reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,Major reason,Major reason,Major reason,Minor reason,Minor reason,No reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Minor reason,Major reason,Minor reason,No reason,No reason,No reason,Minor reason,Major reason
No reason,Major reason,No reason,Minor reason,No reason,No reason,Major reason,Minor reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Minor reason,Minor reason,Major reason,Major reason,Major reason,Major reason,Minor reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Minor reason,No reason,No reason,Major reason,Minor reason,Minor reason,No reason,Minor reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,No reason,Minor reason,No reason,Major reason,Minor reason,Minor reason,Major reason
Major reason,No reason,Minor reason,Major reason,Minor reason,Major reason,Minor reason,Major reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Minor reason,Minor reason,Minor reason,Minor reason,Minor reason,No reason,No reason,Minor reason
Major reason,Minor reason,No reason,Minor reason,No reason,Minor reason,Minor reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No reason,Minor reason,No reason,No reason,No reason,No reason,No reason,Minor reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,Minor reason,Major reason,Major reason,Minor reason,Minor reason,Minor reason,Minor reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Minor reason,Minor reason,Major reason,Major reason,Major reason,Major reason,Minor reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,Minor reason,Minor reason,Minor reason,Minor reason,Minor reason,Minor reason,Minor reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No reason,Major reason,Major reason,No reason,No reason,No reason,Minor reason,No reason
No reason,Major reason,No reason,No reason,No reason,No reason,No reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,No reason,Major reason,Minor reason,Minor reason,Minor reason,Minor reason,Major reason
Minor reason,Minor reason,Minor reason,Minor reason,Minor reason,Minor reason,Minor reason,Minor reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,Minor reason,Major reason,Major reason,Minor reason,Minor reason,Minor reason,Minor reason
Major reason,Minor reason,No reason,No reason,No reason,No reason,No reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No reason,Major reason,No reason,No reason,Major reason,Major reason,Major reason,Minor reason
Major reason,No reason,No reason,No reason,No reason,No reason,No reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,Major reason,Major reason,Major reason,No reason,Minor reason,Major reason,Major reason
Major reason,No reason,No reason,No reason,No reason,No reason,No reason,No reason
Major reason,No reason,Minor reason,Major reason,No reason,No reason,Major reason,Major reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No reason,Minor reason,Major reason,No reason,Major reason,Minor reason,Minor reason,Major reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,Minor reason,Major reason,Minor reason,Major reason,Minor reason,Minor reason,Minor reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No reason,Major reason,No reason,Minor reason,Minor reason,Minor reason,Minor reason,Major reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Minor reason,Minor reason,Major reason,Major reason,Minor reason,Minor reason,Minor reason,Minor reason
Major reason,No reason,Minor reason,Major reason,Major reason,Major reason,Minor reason,Minor reason
Major reason,Major reason,Major reason,Minor reason,Minor reason,Major reason,Major reason,No reason
Minor reason,Minor reason,No reason,Major reason,Major reason,Major reason,No reason,Minor reason
Major reason,Minor reason,No reason,Major reason,No reason,No reason,No reason,Minor reason
Major reason,Minor reason,Minor reason,Minor reason,Minor reason,No reason,Major reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,Minor reason,No reason,Minor reason,No reason,No reason,No reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,Minor reason,No reason,No reason,Minor reason,No reason,No reason,No reason
Major reason,Minor reason,Major reason,Major reason,Major reason,Major reason,Minor reason,Major reason
Major reason,Minor reason,No reason,Major reason,No reason,No reason,No reason,Minor reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Minor reason,Major reason,Major reason,No reason,No reason,Minor reason,Major reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No reason,Major reason,No reason,No reason,Minor reason,Minor reason,No reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Minor reason,Major reason,Major reason,Major reason,Minor reason,Major reason,Major reason,Major reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Minor reason,No reason,Major reason,Major reason,Major reason,Major reason,Major reason,Major reason
Minor reason,Major reason,Minor reason,Minor reason,Minor reason,Minor reason,Minor reason,Minor reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No reason,Major reason,Minor reason,Minor reason,Minor reason,Minor reason,Minor reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,No reason,Major reason,Minor reason,Minor reason,No reason,No reason,No reason
No reason,Major reason,Major reason,No reason,No reason,No reason,No reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Minor reason,Minor reason,Major reason,No reason,Minor reason,Minor reason,Major reason,No reason
Minor reason,No reason,No reason,No reason,Minor reason,Minor reason,Minor reason,Major reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Minor reason,No reason,Major reason,No reason,Minor reason,No reason,Minor reason,Minor reason
Minor reason,No reason,No reason,No reason,Minor reason,Minor reason,Major reason,No reason
Minor reason,No reason,Major reason,Major reason,Minor reason,Major reason,No reason,Minor reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Minor reason,Major reason,No reason,Minor reason,Minor reason,No reason,No reason,Major reason
Minor reason,Major reason,No reason,Minor reason,Minor reason,No reason,Minor reason,Minor reason
No reason,Major reason,No reason,No reason,No reason,No reason,No reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,No reason,Major reason,Major reason,No reason,Minor reason,Major reason,Major reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No reason,No reason,Minor reason,Major reason,Minor reason,Minor reason,No reason,Major reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No reason,Major reason,No reason,Major reason,Minor reason,Minor reason,No reason,Major reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,No reason,Minor reason,Minor reason,Major reason,Minor reason,Minor reason,No reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
Major reason,No reason,Minor reason,No reason,Major reason,Major reason,Major reason,Major reason
No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages,No multiple languages
